Sottostante,Ticker,RSS_URL
Ferrari,RACE.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=RACE.MI&region=US&lang=en-US
FinecoBank SpA,FBK.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=FBK.MI&region=US&lang=en-US
Hera,HER.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=HER.MI&region=US&lang=en-US
Hermes Intl,RMS.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=RMS.PA&region=US&lang=en-US
IBM,IBM,https://feeds.finance.yahoo.com/rss/2.0/headline?s=IBM&region=US&lang=en-US
Infineon Technologies,IFX.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=IFX.DE&region=US&lang=en-US
Infrastrutture Wireless Italiane SpA,INW.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=INW.MI&region=US&lang=en-US
Intel,INTC,https://feeds.finance.yahoo.com/rss/2.0/headline?s=INTC&region=US&lang=en-US
Intesa Sanpaolo,ISP.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=ISP.MI&region=US&lang=en-US
Italgas,IG.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=IG.MI&region=US&lang=en-US
JD.com Inc,JD,https://feeds.finance.yahoo.com/rss/2.0/headline?s=JD&region=US&lang=en-US
Juventus FC SpA,JUVE.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=JUVE.MI&region=US&lang=en-US
Kering,KER.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=KER.PA&region=US&lang=en-US
L'Oreal,OR.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=OR.PA&region=US&lang=en-US
LVMH,MC.PA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MC.PA&region=US&lang=en-US
Lam Research,LRCX,https://feeds.finance.yahoo.com/rss/2.0/headline?s=LRCX&region=US&lang=en-US
Leonardo,LDO.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=LDO.MI&region=US&lang=en-US
Lufthansa,LHA.DE,https://feeds.finance.yahoo.com/rss/2.0/headline?s=LHA.DE&region=US&lang=en-US
MAIRE SpA,MAIRE.MI,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MAIRE.MI&region=US&lang=en-US
Mastercard,MA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MA&region=US&lang=en-US
McDonalds Corp,MCD,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MCD&region=US&lang=en-US
Meta Platforms Inc,META,https://feeds.finance.yahoo.com/rss/2.0/headline?s=META&region=US&lang=en-US
Micron Technology Inc,MU,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MU&region=US&lang=en-US
Microsoft,MSFT,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US
Moderna Inc,MRNA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MRNA&region=US&lang=en-US
Moeller Maersk A/S,MAERSK-B.CO,https://feeds.finance.yahoo.com/rss/2.0/headline?s=MAERSK-B.CO&region=US&lang=en-US
NVIDIA,NVDA,https://feeds.finance.yahoo.com/rss/2.0/headline?s=NVDA&region=US&lang=en-US
Nasdaq-100 Index(R),^NDX,https://feeds.finance.yahoo.com/rss/2.0/headline?s=^NDX&region=US&lang=en-US
